Entry_Date,Exit_Date,Holding_Mins,Pair,Side,Entry_Price,Exit_Price,P/L_USD
2026-01-01 04:10:00,2026-01-01 11:15:00,425.0,ETH-USD,BUY,2979.92,2979.96,5.0
2026-01-01 16:10:00,2026-01-01 16:45:00,35.0,ETH-USD,BUY,2988.24,2984.9,-10.05
2026-01-01 16:55:00,2026-01-01 17:05:00,10.0,ETH-USD,SELL,2985.9,2988.84,-9.95
2026-01-01 17:15:00,2026-01-01 17:35:00,20.0,ETH-USD,BUY,2987.5,2986.63,4.93
2026-01-01 18:30:00,2026-01-01 18:40:00,10.0,ETH-USD,BUY,3001.61,3005.16,4.95
2026-01-01 19:05:00,2026-01-01 19:30:00,25.0,ETH-USD,SELL,2994.43,3001.79,-9.95
2026-01-01 19:45:00,2026-01-01 21:15:00,90.0,ETH-USD,BUY,2999.2,2993.62,-9.85
2026-01-01 22:15:00,2026-01-01 23:25:00,70.0,ETH-USD,BUY,3010.17,3012.44,4.88
2026-01-01 23:30:00,2026-01-02 01:35:00,125.0,ETH-USD,SELL,3013.26,3027.83,-9.8
2026-01-02 01:40:00,2026-01-02 09:15:00,455.0,ETH-USD,BUY,3029.64,3029.04,4.85
2026-01-02 09:30:00,2026-01-02 09:35:00,5.0,ETH-USD,SELL,3025.83,3045.1,-9.75
2026-01-02 09:40:00,2026-01-02 10:20:00,40.0,ETH-USD,BUY,3057.45,3061.24,4.83
2026-01-02 11:55:00,2026-01-02 12:50:00,55.0,ETH-USD,BUY,3130.51,3118.93,-9.7
2026-01-02 12:55:00,2026-01-02 17:10:00,255.0,ETH-USD,SELL,3120.88,3131.48,0.0
