timestamp,low,high,open,close,volume
1765073100,2.0362,2.0379,2.0367,2.0369,45710.788027
1765073400,2.0363,2.0383,2.0369,2.037,109293.019182
1765073700,2.0368,2.04,2.0369,2.0399,95749.972331
1765074000,2.0391,2.0413,2.0399,2.0403,179385.973281
1765074300,2.0398,2.0428,2.0402,2.0422,200126.074314
1765074600,2.0416,2.0444,2.0421,2.0425,92134.472523
1765074900,2.04,2.0436,2.0425,2.0411,145760.524024
1765075200,2.0408,2.046,2.0411,2.0459,222623.96806
1765075500,2.0431,2.0461,2.0459,2.0443,263140.001443
1765075800,2.0435,2.0458,2.0443,2.0448,64762.638541
1765076100,2.045,2.0498,2.045,2.0488,238922.077978
1765076400,2.0486,2.0535,2.0488,2.0495,562402.277212
1765076700,2.0495,2.053,2.0495,2.0523,244729.412082
1765077000,2.0507,2.0529,2.0523,2.0509,120529.326653
1765077300,2.0508,2.0523,2.0509,2.0519,242275.712418
1765077600,2.0506,2.0543,2.0519,2.0542,206708.364194
1765077900,2.0543,2.0597,2.0543,2.0552,315772.894169
1765078200,2.0513,2.0557,2.0552,2.0518,194627.64156
1765078500,2.0517,2.0574,2.052,2.0574,158730.091714
1765078800,2.0559,2.063,2.0574,2.0629,308322.09265
1765079100,2.0604,2.0699,2.063,2.0696,369661.153301
1765079400,2.0682,2.073,2.0695,2.0699,285863.393838
1765079700,2.0686,2.0715,2.0698,2.0692,351442.691526
1765080000,2.0675,2.0717,2.0692,2.071,237121.26453
1765080300,2.0689,2.0742,2.0709,2.0709,243208.881236
1765080600,2.0664,2.0727,2.0709,2.067,214633.98101
1765080900,2.0637,2.067,2.067,2.0653,275457.641178
1765081200,2.0639,2.0658,2.0653,2.0651,75904.870598
1765081500,2.06,2.0651,2.0651,2.0608,302787.881854
1765081800,2.058,2.0611,2.0606,2.0588,157865.688234
1765082100,2.0529,2.0599,2.0588,2.0544,240471.988832
1765082400,2.0526,2.0559,2.0544,2.0548,313406.380774
1765082700,2.0527,2.0554,2.0548,2.0532,71389.500731
1765083000,2.0525,2.0555,2.053,2.0553,69995.716339
1765083300,2.0528,2.0551,2.0551,2.0535,26007.321457
1765083600,2.0505,2.0564,2.0534,2.0517,504650.593612
1765083900,2.0488,2.0526,2.0519,2.0492,594876.77608
1765084200,2.0484,2.0506,2.0492,2.0505,254073.613371
1765084500,2.0495,2.0529,2.0505,2.0497,103913.911624
1765084800,2.0481,2.0506,2.0499,2.0492,178997.736685
1765085100,2.0471,2.0505,2.0492,2.0473,77720.689587
1765085400,2.0454,2.0503,2.0472,2.0502,296201.553062
1765085700,2.0502,2.0535,2.0504,2.0535,103318.68147
1765086000,2.0502,2.0538,2.0534,2.0502,393317.583126
1765086300,2.048,2.0501,2.0501,2.0485,139649.56415
1765086600,2.0467,2.0502,2.0486,2.0475,102005.048518
1765086900,2.0472,2.0495,2.0475,2.0489,145197.366014
1765087200,2.0486,2.0505,2.0489,2.0504,49961.073127
1765087500,2.0496,2.052,2.0504,2.0504,56123.192092
1765087800,2.0502,2.052,2.0504,2.0517,112174.364497
1765088100,2.0497,2.0524,2.0517,2.0502,143632.15103
1765088400,2.0495,2.0528,2.0501,2.0501,64244.546276
